"","pid.x","Acanthoica_quattrospina","Akashiwo","Alexandrium_catenella","Amphidinium","Amylax","Apedinella","Asterionellopsis_glacialis","Bacillaria","Bacillariophyceae","Bacteriastrum","Balanion","Biddulphia","Calciopappus","Calciosolenia_brasiliensis","Cerataulina_pelagica","Tripos","Tripos_furca","Tripos_fusus","Tripos_lineatus","Prorocentrum_dentatum","Copepod_nauplii","Corethron_hystrix","Corymbellus","Coscinodiscus","Dactyliosolen_blavyanus","Dactyliosolen_fragilissimus","Delphineis","Dictyocha","Dictyocysta","Didinium","Dinobryon","Ditylum_brightwellii","Ephemera","Eucampia","Eucampia_morphytype1","Euglena","Euplotes","Euplotes_morphotype1","Eutintinnus","Favella","Gonyaulax","Guinardia_flaccida","Guinardia_striata","Gyrodinium","Hemiaulus","Hemiaulus_membranaceus","Heterocapsa_rotundata","Kryptoperidinium_triquetrum","Karenia","Katodinium_or_Torodinium","Laboea_strobila","Lauderia_annulata","Leegaardiella_ovalis","Leptocylindrus","Leptocylindrus_mediterraneus","Licmophora","Margalefidinium","Mesodinium","Nanoneis","Odontella","Ophiaster","Oxytoxum","Paralia_sulcata","Parvicorbicula_socialis","Phaeocystis","Phaeocystis_debris","Pleuronema","Pleurosigma","Polykrikos","Prorocentrum","Prorocentrum_micans","Prorocentrum_triestinum","Proterythropsis","Protoperidinium","Pseudochattonella_farcimen","Pyramimonas","Pyramimonas_longicauda","Pyramimonas_morphotype1","Acantharia","Rhabdolithes","Rhizosolenia","Skeletonema","Stenosemella_morphotype1","Stenosemella_pacifica","Stephanopyxis","Pelagostrobilidium","Syracosphaera_pulchra","Thalassiosira","Thalassiosira_sp_aff_mala","Tiarina_fusus","Tintinnidium_mucicola","Tontonia_appendiculariformis","Paratontonia_gracillima","Trichodesmium","Vicicitus_globosus","Warnowia","Amoeba","bead","bubble","camera_spot","Ciliophora","Cryptophyta","detritus","detritus_transparent","fecal_pellet","fiber","fiber_TAG_external_detritus","flagellate","flagellate_morphotype1","flagellate_morphotype3","nanoplankton_mix","pennate","pennate_morphotype1","pollen","shellfish_larvae","Bacillariophyceae_morphotype1","unknown2","zooplankton","date","Guinardia_delicatula_merged","Cylindrotheca_merged","Dinophysis_merged","Chaetoceros_merged","Chrysochromulina_merged","coccolithophorid_merged","Pseudo_nitzschia_merged","Thalassionema_merged","Dinophyceae_merged","Tintinnina_merged","Strombidium_merged","Synechococcus","Pico_eukaryotes","pid.y","protist_tricho","Detritus","IFCBArtifact","metazoan","Diatom_noDetritus","Dinoflagellate","Ciliate","Other_phyto","NanoFlagCocco","NanoFlagCocco_gt5","miscProtist_gt5","doy_numeric","week","year","wyear","season","syear"
"1","IFCB1_2006_157_181359",345.969807077437,0,3.97687872754531,31.353074557662,39.9517798870097,139.818836060601,154.098832411814,19.9640722014382,80.5248332041652,0,37.8185851595935,9.37285094775652,197.402284820311,0,419.907910606814,0,0,0,161.793574221887,0,0,6.17145287858597,58.2583391547112,505.57060549257,1561.34576060934,99.8939658070034,346.095673732643,120.401058119814,0,47.7232765540792,147.166179756828,82.5767696095729,66.8349856446929,15.1442102634247,1.99448530463039,69.0931574786664,1.10990050888656,0,768.386565474269,183.510787736308,21.6999411569536,13.4228322708274,18.7201843477941,58.5946676783662,0,0,1347.51653195518,4909.66564157004,65.9488940016843,18.6091576130323,377.309070927645,53.5597565757452,203.273383612289,744.958423826505,291.094169368137,110.382439742543,31.584205922137,363.044506558685,0.800763850562698,0,0.233388925464004,158.31831740582,36.9396251972198,2.13314732901367,20.7598342978138,384.625687629188,101.482225680592,253.546281561562,0,408.256383243372,55.9650221525448,163.170320484666,256.070152574131,282.331300733318,35.5615285870047,1115.67226352301,5.26537075163507,4.92836720008677,0,2.85789639507057,733.312765678376,978.860601454014,0,172.105949652169,19.8002078699435,949.642309617596,64.7528111619493,974.87228195113,0,0,147.729015132855,15.3974264156048,57.2659869036597,0,33.5445713182009,0,2605.50907132425,8699.9896197738,2901.47153351688,0,1227.43682941849,5408.4390556992,349.273139383845,0,0,0,0,1189.46899111321,156.560994782954,126.665239668233,50508.4498980261,283.216006122915,30.0564739730761,8129.44166277502,0,325.184319574337,16.6272906095955,0,2006-06-06,5604.62762083637,327.57353373481,1608.02944642317,1877.64826621877,191.730987052395,179.733688335234,9.19854906769212,9.45885606226202,13785.0902298103,474.758575316207,1111.62166546824,4159.78464495344,29093.6092996176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,23,2006,"2006-23","JJA","2006-JJA"
"2","IFCB1_2006_162_000614",244.167007329072,0,0,22.2966113774588,18.5059233148348,66.5678399683028,305.613653562093,18.4755676827169,251.615924068005,0,52.9209897476517,47.9055135924253,204.144287159165,0,1072.11280985779,0,0,0,350.008809712567,1.81728462845002,0,12.5949561730794,23.2592886106105,396.556702658601,1846.62251658118,200.184549785732,657.262885287486,180.196841816799,0,7.10101256630741,285.126505268149,111.636311911176,111.854410471886,15.3536463710138,1.45626219169219,102.916171158014,0,0,68.2103676040107,235.480538479417,5.44630238919723,33.0790976674425,4.48584868239023,12.920899553439,0,0,1391.45513252445,1741.04841197455,24.573836682031,5.31830581747591,164.469964600528,10.3785769656427,70.6298883089253,508.787622251591,13.6133217513152,65.5166623052821,0,74.9489074464114,0.237332182142223,0,1.40787442627512,393.896860599044,130.502900342805,2.10624428697599,21.6120397735943,0,9.17777575950547,446.777215538725,0,294.754500769456,59.2819212894868,236.120432216362,101.093766025769,189.402673033325,7.41811954413283,975.312031964787,2.80187103193786,0.271623544753752,0.275635486431745,2.57831374159866,667.919770872774,1755.51144623669,0,16.9528582374081,9.43740005181345,107.503423113213,25.6385538752725,1012.94988425272,0.272120020140819,0,60.9904955257294,13.8828812008165,12.5402410502673,0,14.4050502124874,0,2452.99616719507,472.532270662381,0,252.569496121528,1242.40632684783,4113.82358107653,21914.5555641143,0,0,0,98.0088444556107,732.17948009105,99.9940385242045,121.280259298174,48073.2829948178,408.124356843912,3.13037330759542,0,0,358.342935355017,0,0,2006-06-11,2850.42965216551,263.888993726585,960.778252144767,2796.7772883393,112.250572746834,210.970055100473,20.8788966325697,22.757000119724,12969.3939188032,525.682786230676,772.015220097184,6664.01874931857,46608.2680730149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,24,2006,"2006-24","JJA","2006-JJA"
"3","IFCB1_2006_169_095723",233.303180942414,0,0,16.2499231023698,48.5968547061181,53.931800855066,490.135102237364,0,1022.48591597972,1.36633810473414,11.3887280730781,4.35036073447194,162.331100480126,0.0222021523987652,3328.0208959165,0,0,0,701.541714190365,0,0,14.2402849539081,22.9585971625555,239.406557272821,2159.09464489816,535.749946422482,369.26662446155,219.70417512547,0,45.314727420298,533.950750071874,129.346201137724,129.138689648835,37.8503113437489,6.0538423640917,252.893571535285,0,0,35.7667857587013,308.536484596093,9.86389715432172,10.7428305528566,17.4693392982925,0,0,0,1560.20307379888,691.765994988201,54.5865474647083,7.74183024166173,83.2568293728781,17.1008711247059,108.613437193548,1016.52146122926,27.6889642668994,101.960523531259,51.6695482579018,98.1758962947053,0.61130485836934,4.3856171054127,8.7760031206481,1015.51459004752,51.9177143560468,0.024987486882734,19.1522909830524,0,29.2380568080715,98.514129864426,0,184.991466875175,52.2000533204059,223.823116173062,111.385716807375,226.751783639874,12.1255871333736,1027.68160535457,0.67359064243537,3.74042140631851,0,4.16144622825079,1547.9949352175,5384.25215129864,0,0,0,47.4355404102488,23.5626181225203,1468.43563223864,0,0,69.7180768457082,17.6643842982043,9.55984258285573,0,8.23605390471801,0,3534.0441815887,0,0,13.5256620862134,1171.43873751241,2666.18163215282,3348.88169330025,0,0,0,0,499.234240319756,165.505684284454,78.5503153127024,41578.6590819051,485.555097618515,6.87344883395807,0,0,741.597052536242,31.9498084842004,0,2006-06-18,3528.53372187474,230.311968737956,637.792566619632,7098.09292185081,138.154856600079,473.025222933033,34.6630674687716,51.2291760774167,18862.3194747375,832.097183134645,1148.01062122109,7136.30210929975,49911.4264638398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169,25,2006,"2006-25","JJA","2006-JJA"
"4","IFCB1_2006_188_200152",708.962214587128,0,0,4.39481662425847,0,247.121488801775,292.334084375213,0,355.164579682902,0,8.57125045507184,68.9214043447091,46.7473722510833,0,6322.06681652459,0,0,0,321.265890512175,0,0,36.9196606183361,17.6603122871422,89.7310877685544,1070.42345811759,473.056310311116,415.857086774827,13.1912474483814,0,0,86.1481032354935,6.07384356805712,60.8063903552896,8.67691536142369,0,35.6171837823494,0,0,0,0,0,0,23.7951402961148,0,0,0,2790.07495366356,185.532878237712,46.6382589180786,96.5168685466091,0,6.19578126673459,57.8529812630722,2471.26700442815,35.8332363633621,49.0137685535048,120.819887852838,191.261699939777,0.933316220149295,0,0,1243.6586767151,91.0221426894259,0,0,0,0,33.014252670612,0,125.86870946796,0,153.943821491508,87.7522097737283,72.2619106546864,0,1031.29734241411,4.03158868492002,3.44332745249633,0,1.63347336653599,447.499899647581,1576.16252580789,0,0,0,0,99.2924942254988,1824.40660436369,0,0,2445.61219612174,28.5577835007055,0,0,0,0,3668.44092869585,9859.49008959388,72.2564060518818,81.3774219431021,534.564902408506,9450.91806912672,13494.6366032026,0,0,0,0,2686.8858760216,118.870899468261,10.6360946326221,44524.4513671815,432.700468680799,0,0,0,672.371412559757,1264.76298540238,0,2006-07-07,871.350522848728,200.703984610578,400.812787655769,2094.23536542732,242.089327403349,148.468154984041,53.2399105854921,224.496973971464,14679.1608051236,606.477918382835,913.984407406537,7508.65386339882,52515.6613895417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188,27,2006,"2006-27","JJA","2006-JJA"
"5","IFCB1_2006_190_121015",417.159481373474,0,0,27.729412380916,3.78194486800367,131.086192228394,1283.23288817175,28.3771551686608,300.859653413545,0,4.72377820490962,37.8029843888754,42.0694114247553,0,7211.00978475308,0,0,2.14158230706506,303.064982681865,1.61041745359885,0,66.2691434149136,15.2069141710188,82.0795669671449,1300.23592068606,375.610915403039,429.533666324736,17.5346919354348,0,0,67.9177311039341,17.5856422716449,209.879023585729,32.4873461704688,5.47799898173546,49.5240403583121,0,0,0,108.306941183157,41.4019049188728,20.2548492300236,54.4290031751017,12.5343903563899,0,0,2446.67105337571,84.390624173369,108.053821851088,29.5051355675589,42.8899818076762,4.43995153112707,8.85798405097034,3045.64748498856,53.5939885757136,45.6999364613458,12.9651452312139,141.522927724522,0.834367485986475,2.48784672943593,0.794356148694987,670.238211652826,75.3444754861376,0.11766412493341,18.2878465857672,0,0,59.6096852026003,0,183.03711659168,52.3810037967073,229.730082497717,74.7282556070699,54.8576442979391,0.112141265006575,532.312687311644,5.91356016562273,2.9850133562915,0,2.4773217454633,315.26319498993,3516.85805591561,0,42.4166097545546,0,128.938847632352,120.67951013182,1368.18504975001,0,0,1209.83929386823,16.6081534577638,0.862660922574161,0,0,55.9655575216303,3598.82003123999,1571.30911078952,0,227.338688533162,314.947955765168,7685.48020851989,33709.5905189328,0,0,0,131.328256135609,1258.39508803435,40.2818276264399,8.63727943831678,30720.0126468564,416.062845790123,4.5588758980885,0,0,793.801509942738,611.029477191703,0,2006-07-09,767.116059491381,259.855091581488,272.884832225938,3660.469380584,213.831246375944,211.336400084007,44.2289874817494,313.678412892431,9522.17560142363,553.672099471098,585.707428190742,5829.12417237576,40769.000250001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,28,2006,"2006-28","JJA","2006-JJA"
"6","IFCB1_2006_197_002056",309.770143474642,0,0,23.3448922297736,13.8999453568456,93.3258832473716,748.702563058622,22.8719212572546,75.784081483177,0,3.7110560524517,6.29526590768173,31.8719578168154,0,1988.77587078433,0,3.69033800801129,4.83637126633168,538.155792704039,0,0,111.253836153314,6.14763550164132,122.805761836352,1448.96183800053,134.359550195604,234.664146168086,10.2445888313244,0,0,13.0488083905171,61.920500537872,157.351119196052,19.671633001084,29.6591806636711,4.92703508193656,0,0,0,78.1585707976941,25.4192748331023,58.7599955614122,127.331750589376,2.82236878836256,0,0,2547.54360906051,99.5795543344548,44.1760821726258,19.670085925052,0,3.68379968394325,23.8795846930183,2081.72926390967,29.2086847483775,188.012696845002,16.4792150180854,142.557377715052,0.0532119705152881,9.12460845706262,0.315733858138398,295.94793500506,65.2661278453674,0,261.028024541892,4757.64900962372,26.1938394338569,35.5753110635594,0,249.06499207917,71.6584060523604,206.541449629446,55.116661101857,51.6924261337282,1.92753337954406,251.781305429305,1.8567657660899,2.34362412553671,2.90660801037847,5.17355882234758,1550.66710517843,2802.24694567958,0,0,0,24.3044909397828,42.574512547476,1236.76370423689,0,0,86.6370968811661,31.0109984037293,0,0,0,8.54788974324865,3142.94550985315,5844.03925535913,0,83.4016104791284,258.859890228643,3010.21445752564,62527.0102589067,0,681.806763894184,25.7841498831857,0,798.218849585639,5.38833182758458,5.34735578119398,27528.7382513403,366.516811903287,0.967670897626989,0,0,521.889289852,42.6691655264106,0,2006-07-16,589.158024582621,231.626905567615,166.024007629761,2710.39728871363,140.201895664253,120.38669219407,157.561728812313,149.027474959459,6124.29616514794,264.558075550614,338.967701440318,3556.83613094678,24876.5764501944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,29,2006,"2006-29","JJA","2006-JJA"
"7","IFCB1_2006_204_001126",174.47594844418,12.1816978548043,0,10.7959644664511,0,35.4364541425456,481.64635904228,6.04833417818283,74.7800623211615,0,1.16849080901935,9.20892428383898,20.736535976395,0,832.116512835165,0,0,4.2610315974348,528.085494858923,0,0,213.798153054406,2.54157189289009,297.891506125576,314.509772924315,144.214239127589,165.074265391172,3.63217034755322,0,0,3.89475819807172,22.1227367617327,113.356736772908,17.1611825327602,37.0965107319524,2.12591171508788,0,0,0,39.1470062762765,0,0,697.593896081068,51.1785337047552,0,0,1964.47163452891,38.5417103412481,26.3637697732071,4.02905901293279,0,0,10.6709961132159,1317.34382783271,10.2940422954573,108.864998143498,0,90.6321860907289,0.188994390572796,15.4885333252182,0.772098450325014,110.762509104349,88.8427271470481,0,52.5461237010985,0,7.82849061155904,39.2858600324335,0,303.602814263035,101.929947716037,67.1602699078882,19.2766581172625,34.0218087235865,3.87541855531183,198.558575479745,0.967400315860217,1.10711050118045,0,0.988382644589826,1758.14684301182,867.896940520961,0,0,0,0,15.3582286890759,821.121439723632,0,0,0,128.960183044976,0,0,0,0,2317.42046841234,514.948980223071,0,301.622710029435,72.3003025822024,2082.12487493238,30385.6404506093,0,0,6.84607125764809,0,575.250292382505,1.60982696625156,3.19992328812801,26957.6474796313,385.255437069395,0,0,0,320.389530571713,0,0,2006-07-23,2268.06620713443,94.202698862472,114.92884291102,1213.63980909923,68.2085239487233,63.3820953368723,400.289513349214,18.5301928906164,5392.86517284761,205.422731206471,106.589885567095,2419.32292068432,16920.7884137442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,30,2006,"2006-30","JJA","2006-JJA"
"8","IFCB1_2006_211_000814",129.533400379184,5.08630092425894,0,11.3358439576384,0,19.8617365501608,383.212825865945,8.80057259348868,18.4050351413457,0,0.831196750013454,2.81038080659583,3.74331267083746,0.0416370440240345,678.472391395396,0,0,8.86752180429974,419.065667165568,0,0,72.2345031152711,6.69088439881205,95.2605897107666,53.0977944672635,70.8686403586254,42.7466786093123,8.58585120033912,0,0,0.733673000067476,0,64.6076598208403,33.0699813298554,13.8199720959616,2.39976456141608,0,0,0.68412211888265,0.0177162906384266,0,0,2132.77727579732,0,0,0,2982.95709855676,31.9014039586928,36.0702010129521,4.8592207405802,0,5.54411140571874,7.32512448876939,571.316452537986,10.5531942469317,98.4474348159079,0,78.4262551107812,0.432687441796632,0,1.6069520801319,99.5234217799403,15.1244009542978,0,17.6288875534855,0,0,4.76986351886536,0,307.532236331947,165.661883027799,37.6325027691872,27.3383004223098,42.108496538152,4.26506746680939,170.895410746511,0.910150262216784,0,0,3.74016689194189,1975.09751614359,49.6108043104687,0,0,0,105.51405107805,24.2300892588085,555.415468910926,0,0,98.8161980424891,102.040379999474,0,6.44341401883285,0,24.4309556468814,2164.68020497783,1692.72866539377,0,85.3834374460113,134.463572038704,565.468114489365,35221.231870424,0,0,46.976048892594,0,466.139304575037,0,1.38547673848289,10607.0107666047,139.948533093094,0,0,0,140.991469472281,147.504541421109,0,2006-07-30,2725.68145662276,59.5687765509237,82.0171983928425,428.840226557098,71.9981674154692,62.3386624967929,236.927316181421,29.884047993744,4957.80514973185,276.055552312363,86.3489695183714,2911.78336009316,20365.065664265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211,31,2006,"2006-31","JJA","2006-JJA"
"9","IFCB1_2006_237_000054",82.4415895059583,0,0,27.7782201737836,0,36.793137311893,447.995297781695,216.538856101339,4.59141211774635,0,11.8302842004457,6.93701364359504,1.36455465824213,0,293.725831516712,361.452736468962,0,0,1047.00119881908,0,0,806.337122742428,55.2910016724614,561.097469606904,23.0617825666484,47.4324610839223,91.269591442338,2.91502992901237,0,0,49.027220601202,586.26696112654,230.252490473052,19.0233547751628,20.171435748788,12.145101783754,0,0,0,370.562520308836,18.8205798462407,12.4361136004505,483.256449892108,22.6928635024212,0,0,3531.95888664862,0,77.9356741743094,257.201379029501,406.466128556859,14.5567097988921,0,676.907508161784,38.6790269780453,12.4908090035674,107.52328935801,859.211873402374,0.0788623570934755,6.65121747077768,0.853156525030138,1.78299675009971,45.1750008941131,0,0,2794.57626191785,128.920940344038,126.515744717292,0,2245.16760659953,233.311803587862,47.8094518554775,54.6561640990314,71.6569566028303,14.6998742912537,37.1221586637112,0,0,0,0,798.577327890772,35.930182437058,0,89.5110421973274,0,1099.20649484828,35.4570944146833,318.189175717913,0,73.0160452233716,223.363266438291,277.467540707811,6.12892631914607,0,266.903133728967,0,1374.54056228364,2220.72658301198,0,0,2654.0438107714,965.057130430297,9001.99013008758,0,16748.446650113,0,0,1013.94385927898,32.9347261286469,0.0610107241248055,4548.66825400648,483.837865644089,0,0,0,151.641579012753,0,0,2006-08-25,4406.07693272586,185.587793735398,1192.19934204282,28986.6497708447,385.865671182923,56.8628199291219,1155.996682574,21.0293642077956,3047.98299875113,144.762945996223,3797.44294480327,3076.52296569968,21517.2574556127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237,34,2006,"2006-34","JJA","2006-JJA"
"10","IFCB1_2006_239_000253",183.792763982603,145.819441309744,0,55.6985581362205,8.88171645265107,53.8510769305822,1933.64402952303,293.021033246508,10.2810404007351,3.06643395199592,4.08783708309011,47.94334679345,0.858196162761437,0.0504528644676902,462.897132996739,0,5.92344856292563,0,2509.87139042127,0,0,1692.87148006794,58.6204050638351,1472.77489790531,288.292576851533,92.0368691324027,272.392183101,15.0661566454524,0,0,132.58312835806,1086.45926174703,592.687662435313,92.4325929251561,2.59262267213975,2.27151954447123,0,94.9737129415683,60.3700687744256,659.381683969546,211.768378407534,134.300313668824,1862.19750620903,2245.19903429192,0.8212923265665,103.975731777982,2891.67736832624,68.0138658470336,150.997986282677,1408.00085648764,5294.42025081405,56.4124645589353,70.1728077455486,1445.12043315615,42.7569820589093,7.81929168234334,70.9458102437953,1223.44309934985,0.189980599253484,68.133547058998,5.5027619014472,0.3024155469197,194.424530794672,0,117.991468954806,0,6.16672110141276,129.493007002956,0,3943.12761337265,785.126875152622,31.0111610385205,112.037136050468,113.776319204322,22.033004167704,90.4977304122041,2.02630604521277,1.20037653832396,18.2871320061826,8.01259777794648,2367.94177783252,74.9178191049388,0,10.6347748926536,12.9440560826596,3110.24588806977,14.6862494457605,795.267954717776,0,23.3140920009241,485.571645188092,1053.44432490359,15.1252229690909,0,137.065056542086,173.34489496016,1069.09306083889,1093.23226455905,0,0,2970.46240444277,2455.9345322125,7241.38497238723,0,0,0,0,1373.66088158601,71.6299038627673,0.782961849380916,6359.66147492178,567.265389496436,4.73599883503603,0,0,177.439134865991,6.91033791751531,0,2006-08-27,2658.74060477557,265.844321647206,2259.57230574994,26356.4601069563,458.619793761321,62.2625200293089,1471.52484330296,143.37883130057,3489.52643690786,198.515693345351,5437.96171247363,2798.50074025444,19572.7649652317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239,35,2006,"2006-35","JJA","2006-JJA"
